City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
288,Souillac,MU,-20.5167,57.5167,71.6,100,75,3.44,light rain
289,Duldurga,RU,50.6761,113.5931,39.74,30,99,10.09,overcast clouds
290,Lorengau,PG,-2.0226,147.2712,84.18,70,98,8.66,moderate rain
291,Hualmay,PE,-11.0964,-77.6139,67.03,87,2,9.01,clear sky
292,Khasan,RU,42.4308,130.6434,49.64,67,100,5.01,overcast clouds
293,Linjiang,CN,41.8069,126.9078,60.75,45,100,8.61,light rain
294,Takehara,JP,34.3383,132.9167,66.2,24,0,5.75,clear sky
295,Houma,US,29.5958,-90.7195,57.99,82,1,4.61,clear sky
296,Maslovare,BA,44.5656,17.5336,50.0,93,75,3.44,broken clouds
297,Terrace Bay,CA,48.7834,-87.1,35.6,69,11,5.75,few clouds
298,Votkinsk,RU,57.0486,53.9872,37.99,89,98,4.0,overcast clouds
299,Yamada,JP,39.4667,141.95,53.2,52,0,10.89,clear sky
300,Klyuchi,RU,52.2667,79.1667,38.34,47,0,13.22,clear sky
301,Te Anau,NZ,-45.4167,167.7167,50.83,85,100,6.17,overcast clouds
302,Walvis Bay,NA,-22.9575,14.5053,63.0,77,61,3.44,broken clouds
303,Shirokiy,RU,49.758,129.523,51.96,33,88,14.5,overcast clouds
304,At-Bashi,KG,41.1702,75.8106,34.57,57,19,3.51,few clouds
305,Aguimes,ES,27.9054,-15.4461,66.99,77,75,4.61,broken clouds
306,Kagoro,NG,9.6,8.3833,72.75,73,100,2.95,overcast clouds
307,Port Barton,PH,10.4756,119.2472,85.28,70,98,11.18,overcast clouds
308,Norfolk,US,42.1668,-71.2495,39.2,41,1,11.5,clear sky
309,San Cristobal,VE,7.7669,-72.225,82.4,69,20,3.44,few clouds
310,Tarakan,ID,3.3,117.6333,86.0,74,75,4.61,broken clouds
311,Itarema,BR,-2.9248,-39.9167,75.65,89,14,4.59,light rain
312,Tagusao,PH,9.1924,117.8141,84.15,72,92,11.05,overcast clouds
313,Clyde River,CA,70.4692,-68.5914,15.8,73,90,8.05,overcast clouds
314,Taft,IR,31.7471,54.2088,69.8,21,0,4.61,clear sky
315,Karaton,ID,-6.3424,106.1045,91.0,55,20,2.3,few clouds
316,Lasa,IT,46.6166,10.7002,45.0,87,0,5.75,clear sky
317,Letlhakane,BW,-21.4167,25.5833,56.98,48,79,7.4,broken clouds
318,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.4,61,20,6.71,few clouds
319,Bentiu,SS,9.2333,29.8333,80.83,59,100,4.27,overcast clouds
320,Mount Gambier,AU,-37.8333,140.7667,59.0,58,75,13.8,broken clouds
321,Malakal,SS,9.5334,31.6605,79.32,61,39,3.65,scattered clouds
322,Bakchar,RU,57.0186,82.0711,34.99,76,10,3.71,clear sky
323,Lompoc,US,34.6391,-120.4579,51.8,82,7,6.91,clear sky
324,Arraial Do Cabo,BR,-22.9661,-42.0278,73.08,77,6,21.16,clear sky
325,Peruibe,BR,-24.32,-46.9983,64.78,88,11,4.47,few clouds
326,Kingaroy,AU,-26.5333,151.8333,73.0,26,6,6.91,clear sky
327,Arlit,NE,18.7369,7.3853,78.8,8,23,3.94,few clouds
328,Shiyan,CN,32.6475,110.7781,58.3,94,100,7.23,light rain
329,Krasnoselkup,RU,65.7,82.4667,31.21,86,53,17.45,broken clouds
330,Deseronto,CA,44.2001,-77.0494,35.01,65,7,5.99,clear sky
331,Ixtapa,MX,20.7,-105.2,77.0,78,40,6.91,scattered clouds
332,Mackay,AU,-21.15,149.2,71.01,88,75,12.66,light rain
333,Phan Thiet,VN,10.9333,108.1,85.62,68,100,6.93,overcast clouds
334,Meulaboh,ID,4.1363,96.1285,83.14,72,96,2.44,overcast clouds
335,Boa Vista,BR,2.8197,-60.6733,78.8,78,75,10.36,broken clouds
336,Port Blair,IN,11.6667,92.75,84.43,63,96,6.13,overcast clouds
337,Asau,RO,46.4333,26.4,39.0,63,72,1.7,broken clouds
338,Prince Rupert,CA,54.3161,-130.3201,53.6,37,1,6.91,clear sky
339,Corvallis,US,44.5646,-123.262,52.0,66,1,14.97,clear sky
340,Caravelas,BR,-17.7125,-39.2481,73.0,89,95,4.65,overcast clouds
341,Mutis,CO,6.2262,-77.4044,78.91,83,92,1.01,light rain
342,Aksarka,RU,66.5606,67.7975,35.4,97,92,14.45,overcast clouds
343,Salinopolis,BR,-0.6136,-47.3561,77.72,85,100,6.26,overcast clouds
344,Leningradskiy,RU,69.3833,178.4167,34.32,85,100,4.81,overcast clouds
345,Kidal,ML,18.4411,1.4078,82.04,8,7,10.18,clear sky
